fqcn	estrato	chars	tok_o200k	tok_anth
star.meshing.RepairQueryPredicateEditorTree	S5	14367	2987	3235
star.common.AdjointSolver	S5	13428	2657	2715
star.electroniccooling.ui.EnclosurePanel	S5	15588	3298	3601
star.meshing.ui.SurfaceMeshWidgetBrowseButtons.LastBrowseButton	S5	12675	2612	2838
star.meshing.ui.CustomMeshControlSelectPartSurfacesPanel	S5	12947	2686	2917
star.cadmodeler.ui.CoordinateTransformBodyPanel	S5	19188	3932	4278
star.vis.VectorDisplayer	S5	20268	4132	4365
star.common.ui.DoubleWithUnitsField	S5	20288	4174	4397
star.post.SolutionHistory	S5	17645	3411	3728
star.vis.SceneStyleDefaults	S5	22160	4444	4569
star.cadmodeler.ui.CreateBodyTessellationPanel	S5	14191	2943	3180
star.vis.ui.CellSurfaceCreatePanel	S5	13653	2814	3038
star.cadmodeler.ui.CadModelCoordinateField	S5	15387	3081	3307
star.cadmodeler.ui.CreateNamedEdgesColorPanel	S5	14697	3048	3286
star.cadmodeler.ui.ReferenceCoordinateSystemByImportPanel	S5	17188	3523	3818
star.meshing.ui.SurfaceMeshWidgetDebugButtons.AddSelectedToRangeButton	S5	13667	2797	3027
star.automation.RemoveInvalidCellsAutomationBlock	S5	15411	3179	3252
star.cadmodeler.vis.FreeFormSelectState	S5	13761	2871	3013
star.common.expression.ExpressionLexer	S5	18054	3904	4480
star.mdx.ui.MdxDesignSetView	S5	13593	2730	2888
star.cadmodeler.ui.CreateGeneralSelectionPanel	S5	13607	2772	2994
star.common.ui.StarDoubleField	S5	13516	2757	2934
star.starice.ui.SectorCylinderPanel	S5	15005	3230	3534
star.starice.ui.EditReitzDiwakarPanel	S5	12318	2617	2846
star.cadmodeler.CoordinateTransformBodyFeature	S5	14048	2786	2941
star.meshing.SurfaceMeshWidgetRepairController	S5	17479	3516	3686
star.meshing.ui.SurfaceMeshWidgetQueryButtons.TestButton	S5	13419	2748	2978
star.cadmodeler.ui.BrowserResultTableButton	S5	13738	2830	3063
star.coupledflow.CoupledFlowModel	S5	15621	3233	3372
star.base.report.DerivedDataManager	S5	12981	2709	2825
star.electroniccooling.idf.ui.IDFExtrudedChipPanel	S5	13850	2922	3143
star.meshing.ui.ImportDbsPartPanel	S5	12273	2542	2725
star.meshing.ui.SurfaceMeshWidgetRepairButtons.ZipEdgesButton	S5	13149	2701	2939
star.common.ValueInplaceEditor	S5	13828	2804	3024
star.vis.ui.StreamlineEditorPanel	S5	14602	3038	3285
star.quickobjects.ui.ExportQuickPartToLibraryPanel	S5	12589	2602	2844
star.coremodule.services.ImportSettings	S5	12286	2646	2854
star.cadmodeler.ui.BodyFeatureSelectionWidgetPanel	S5	18270	3764	4062
star.quickobjects.ui.QuickPartPhysicsPanel	S5	14356	2924	3114
star.cadmodeler.ui.Sketch3DEquationBasedCurvePanel	S5	14096	2986	3204
star.quickobjects.ui.QuickSolverSettingsPanel	S5	14070	2941	3187
star.coremodule.comparetool.ui.ComparisonResultsView	S5	13014	2666	2901
star.meshing.ui.SurfaceMeshWidgetRepairButtons.SplitQuadButton	S5	12670	2613	2845
star.electroniccooling.ui.GenericCylinderPartPanel	S5	14185	2957	3216
star.starice.ui.StarIceProfilePanel	S5	18375	3894	4096
star.common.ScalarAndVectorFieldFunctionPresenterMenuCreator.NonCoordinateSystemSupportingPresenterItem	S5	12577	2535	2772
star.coremodule.ui.RegionsComboBox	S5	12421	2547	2645
star.vis.SceneBase	S5	28221	5581	5828
star.segregatedmultiphase.SegregatedMultiPhaseModel	S5	12449	2455	2550
star.firesmoke.ui.FireSmokePanel	S5	16288	3379	3582
star.starice.StarIcePhysicsManager	S5	25163	5134	5295
star.common.ui.DerivedDataMultiSelector	S5	12539	2476	2642
star.vis.ui.ControlPointWidget	S5	18762	3744	3884
star.common.RepresentationManager	S5	12483	2411	2524
star.meshing.ui.SurfaceMeshWidgetDisplayButtons.ToggleReferenceElementsDepthButton	S5	12847	2631	2857
star.meshing.ui.SurfaceMeshWidgetQueryButtons.FaceAreaButton	S5	12655	2613	2839
star.cadmodeler.SplitFacesByEdgeProjection	S5	13052	2574	2714
star.common.validation.ValidationTab	S5	12819	2622	2835
star.cadmodeler.ui.CreateCenterPointRectangleSketchEntityButton	S5	12033	2437	2661
star.quickobjects.ui.QuickSceneObjectEditPanel	S5	12170	2527	2737
star.meshing.AutoMeshOperation	S5	13401	2745	2863
star.quickobjects.ui.CadBodyPanel	S5	13687	2827	3088
star.meshing.ui.SurfaceMeshWidgetBrowseButtons.NextBrowseButton	S5	12675	2612	2838
star.meshing.ui.SurfaceMeshWidgetDebugStatePanel	S5	17340	3588	3917
star.battery.cellproperty.models.electrolyte.conductivity.GeneralElectrolyteConductivityCustomOption	S5	19330	5404	6008
star.meshing.ui.SurfaceMeshWidgetDisplayButtons.HideSelectedFacesButton	S5	12748	2622	2848
star.automation.ui.SimDriverWorkflowValidationTab	S5	14650	2997	3238
star.coremodule.ui.LocalizedVerticalList	S5	12611	2528	2664
star.mdx.ui.tables.MdxSurrogateResidualTablePanel.MdxSurrogateResidualTable	S5	19561	4163	4441
star.cosimulation.reactingchannel.ReactingChannelDataSet	S5	12476	2679	2824
star.vis.StudioMaterial	S5	20832	4609	4805
star.electroniccooling.ui.CompactHeatsinkPanel	S5	13773	2888	3118
star.cadmodeler.ui.CreateFilletPanel	S5	18985	3946	4242
star.cadmodeler.ui.FreeFormBoundaryConditionsPanel	S5	13444	2841	3112
star.base.neo.NeoGui	S6	41696	8131	8421
star.cadmodeler.AssemblyConstraintFeature	S6	31464	6237	6423
star.cadmodeler.CadModel	S6	105284	21715	22442
star.cadmodeler.FeatureManager	S6	80474	16880	17851
star.cadmodeler.Sketch	S6	106133	20828	22878
star.cadmodeler.Sketch3D	S6	80207	18282	19695
star.cadmodeler.SolidModelManager	S6	44078	9315	9503
star.cadmodeler.ui.CreateExtrusionPanel	S6	30169	6156	6746
star.cadmodeler.ui.CreateFeaturePanel	S6	39733	7834	8351
star.cadmodeler.ui.CreateSweepPanel	S6	33406	6763	7355
star.cadmodeler.vis.SelectTopologicalEntityState	S6	46218	9654	10144
star.common.expression.ExpressionParser	S6	30862	6077	7108
star.common.expression.ExpressionParserBaseVisitor	S6	58906	10867	11466
star.common.expression.ExpressionParserVisitor	S6	40857	7468	7954
star.common.FilterModel	S6	109296	20248	20656
star.common.ImportManager	S6	41902	8667	8940
star.common.PartManager	S6	56494	11631	12071
star.common.RGBColors	S6	51815	11675	13098
star.common.StarPlot	S6	31909	6363	6553
star.common.StarSettings	S6	38680	7784	8255
star.coremodule.services.VisSettings	S6	35793	7291	8161
star.electroniccooling.ECoolManager	S6	32616	6639	6812
star.mdx.MdxDesignStudy	S6	46528	9675	10175
star.mdx.MdxDesignStudyManager	S6	30752	6427	6714
star.mdx.MdxScene	S6	30844	6067	6257
star.meshing.MeshPart	S6	32203	6803	6972
star.meshing.PartImportManager	S6	122083	25623	26310
star.meshing.SurfaceMeshWidgetSelectController	S6	38542	8160	8493
star.meshing.ui.SurfaceMeshWidgetMergeImprintPanelBase	S6	33251	7153	8183
star.speed.parser.GDFData	S6	109140	28058	29142
star.vis.Scene	S6	67562	13563	14302
star.vis.SceneManager	S6	30176	5999	6242
star.vis.StudioScene	S6	34954	6935	7202
